id_assegnazione,id_sinistro,id_perito,data_assegnazione,data_sopralluogo,compenso_perito
1,1,174,2024-02-29,2024-03-07,257.22
2,2,164,2026-08-15,2026-08-24,331.83
3,3,194,2024-03-06,2024-03-09,189.34
4,4,125,2025-03-22,2025-03-28,
5,5,48,2023-03-12,2023-03-18,227.27
6,6,53,2025-08-27,2025-09-02,282.08
7,7,99,2026-05-31,2026-06-01,80.43
8,8,20,2024-02-23,2024-02-27,192.37
9,9,193,2024-05-15,2024-05-16,229.37
10,10,29,2023-07-17,2023-07-27,84.53
11,11,66,2024-12-09,2024-12-13,114.81
12,12,71,2026-08-19,2026-08-22,283.74
13,13,125,2026-08-25,2026-08-26,157.56
14,14,124,2025-09-13,2025-09-17,115.79
15,15,32,2026-03-19,2026-03-28,87.08
16,16,159,2025-06-29,2025-07-04,415.03
17,18,120,2023-09-27,2023-09-28,344.77
18,19,74,2025-08-15,2025-08-19,275.8
19,21,59,2026-06-23,2026-06-26,251.98
20,22,169,2023-03-25,2023-04-04,150.31
21,23,105,2023-11-17,2023-11-27,164.8
22,24,151,2025-06-07,2025-06-17,190.07
23,26,68,2026-08-22,2026-08-23,380.75
24,28,147,2023-06-12,2023-06-22,272.29
25,29,128,2025-08-09,2025-08-11,91.01
26,30,100,2024-06-26,2024-07-01,201.85
27,31,164,2025-12-19,2025-12-25,379.52
28,33,16,2024-01-05,2024-01-09,315.35
29,35,58,2026-08-28,2026-08-31,354.94
30,36,61,2025-07-26,2025-08-03,364.85
31,37,32,2024-11-11,2024-11-15,141.41
32,39,10,2026-05-17,2026-05-20,222.87
33,40,41,2025-07-04,2025-07-07,386.14
34,41,113,2024-10-02,2024-10-05,152.45
35,42,1,2024-04-12,2024-04-19,133.11
36,43,46,2025-05-26,2025-05-29,147.66
37,44,35,2025-05-28,2025-05-29,255.62
38,45,164,2023-11-25,2023-12-04,396.65
39,46,90,2024-01-16,2024-01-26,153.4
40,47,148,2023-09-27,2023-10-02,351.01
41,48,79,2026-04-12,2026-04-22,338.86
42,49,167,2026-07-27,2026-08-06,128.49
43,50,90,2024-02-02,2024-02-04,335.45
44,51,83,2024-05-14,2024-05-24,103.71
45,52,21,2024-01-26,2024-01-27,112.89
46,53,68,2026-08-12,2026-08-13,429.86
47,54,66,2024-11-03,2024-11-11,271.47
48,55,129,2024-01-27,2024-02-01,268.77
49,57,146,2026-07-09,2026-07-12,103.42
50,58,111,2024-06-08,2024-06-10,269.9
51,59,51,2024-07-23,2024-07-31,390.33
52,60,151,2025-10-18,2025-10-22,187.82
53,61,67,2023-10-01,2023-10-07,366.43
54,62,79,2026-06-23,2026-06-27,284.04
55,63,114,2026-05-06,2026-05-11,440.24
56,64,86,2024-07-25,2024-08-03,130.91
57,65,90,2025-03-27,2025-04-02,86.65
58,66,83,2026-06-13,2026-06-21,318.93
59,68,174,2025-02-28,2025-03-07,253.23
60,69,163,2025-08-09,2025-08-19,438.97
61,70,213,2025-02-23,2025-02-24,201.91
62,72,114,2026-04-05,2026-04-14,437.25
63,73,67,2024-07-12,2024-07-17,262.81
64,74,187,2025-08-21,2025-08-31,259.24
65,75,114,2023-09-16,2023-09-25,151.86
66,77,81,2025-07-23,2025-07-31,144.69
67,78,60,2025-10-22,2025-10-28,178.28
68,79,139,2024-03-09,2024-03-13,164.94
69,80,90,2026-03-25,2026-04-01,153.09
70,81,43,2025-09-05,2025-09-11,216.29
71,83,167,2024-12-06,2024-12-11,213.19
72,84,203,2024-03-01,2024-03-05,309.49
73,85,181,2026-06-01,2026-06-06,219.23
74,86,155,2024-02-27,2024-03-04,142.78
75,87,185,2024-02-01,2024-02-03,163.18
76,88,186,2025-02-27,2025-03-06,186.86
77,89,142,2026-06-13,2026-06-15,245.59
78,90,164,2026-07-24,2026-07-25,81.97
79,91,191,2023-08-15,2023-08-17,196.37
80,92,11,2024-03-21,2024-03-26,115.36
81,93,76,2023-04-25,2023-04-26,
82,94,151,2024-11-10,2024-11-19,325.17
83,95,112,2026-04-24,2026-05-03,195.66
84,96,189,2024-02-17,2024-02-24,150.33
85,97,46,2025-11-07,2025-11-16,139.01
86,98,12,2025-05-31,2025-06-02,230.51
87,99,150,2023-08-28,2023-08-29,266.9
88,100,194,2025-11-22,2025-12-01,178.38
89,101,147,2023-08-20,2023-08-27,136.77
90,102,52,2026-07-13,2026-07-21,144.34
91,103,84,2024-03-24,2024-03-31,398.59
92,104,71,2024-10-27,2024-11-04,312.17
93,105,82,2024-10-31,2024-11-07,145.07
94,106,201,2025-05-07,2025-05-09,220.46
95,107,116,2024-08-16,2024-08-26,172.36
96,108,100,2026-06-03,2026-06-06,191.68
97,109,147,2026-08-13,2026-08-16,140.04
98,110,8,2023-10-19,2023-10-22,156.78
99,111,132,2024-01-09,2024-01-11,393.76
100,112,32,2026-05-04,2026-05-10,270.61
101,113,7,2026-08-12,2026-08-14,351.19
102,114,101,2024-10-06,2024-10-15,85.98
103,115,104,2024-08-05,2024-08-12,195.87
104,117,193,2026-07-19,2026-07-28,412.09
105,118,2,2024-03-11,2024-03-18,345.71
106,120,63,2024-01-18,2024-01-24,99.17
107,121,160,2025-02-06,2025-02-14,270.03
108,122,22,2026-04-16,2026-04-24,191.15
109,123,8,2026-01-20,2026-01-26,399.76
110,124,129,2025-05-01,2025-05-09,262.99
111,125,50,2026-08-07,2026-08-16,334.46
112,126,119,2024-02-27,2024-03-05,243.57
113,127,3,2024-12-18,2024-12-20,414.53
114,128,70,2024-08-09,2024-08-16,424.1
115,129,208,2024-05-25,2024-05-28,103.65
116,130,123,2025-11-27,2025-11-29,180.02
117,131,138,2026-02-11,2026-02-17,235.63
118,132,97,2026-06-07,2026-06-16,279.57
119,133,81,2026-07-18,2026-07-20,146.68
120,134,218,2024-06-07,2024-06-17,173.35
121,135,192,2026-08-06,2026-08-11,321.08
122,136,1,2025-08-30,2025-08-31,299.88
123,138,129,2024-03-20,2024-03-25,437.79
