id_polizza,id_cliente,id_tipo_polizza,premio_annuo,data_decorrenza,data_scadenza
1,1243,11,489.0,2023-11-27,2024-11-26
2,2134,12,93.22,2023-09-02,2024-09-01
3,2186,11,312.9,2023-10-07,2024-10-06
4,2856,3,242.71,2025-06-12,2026-06-12
5,2090,8,66.37,2025-05-27,2026-05-27
6,294,6,206.74,2023-06-13,2024-06-12
7,2610,10,442.19,2023-08-16,2024-08-15
8,1553,3,323.88,2023-12-13,2024-12-12
9,622,2,213.61,2023-04-09,2024-04-08
10,973,2,189.88,2023-04-16,2024-04-15
11,2718,11,319.86,2023-05-17,2024-05-16
12,1038,8,102.21,2024-10-23,2025-10-23
13,2687,11,565.86,2024-06-02,2023-06-03
14,2593,8,96.42,2023-05-14,2024-05-13
15,1911,13,156.07,2025-01-05,2026-01-05
16,2477,7,109.55,2023-03-04,2024-03-03
17,2421,8,68.04,2025-04-03,2026-04-03
18,1492,13,142.95,2024-01-13,2025-01-12
19,2968,2,271.39,2025-04-07,2026-04-07
20,2677,8,70.45,2024-06-14,2025-06-14
21,33,9,472.91,2023-06-19,2024-06-18
22,2679,7,97.78,2023-01-11,2024-01-11
23,1549,13,132.18,2024-06-17,2025-06-17
24,2869,13,149.27,2023-07-30,2024-07-29
25,15,10,386.13,2023-05-01,2024-04-30
26,3112,2,206.41,2024-10-15,2023-10-16
27,1670,4,169.83,2023-08-16,2024-08-15
28,2702,4,150.71,2026-02-04,2027-02-04
29,717,12,166.14,2026-01-02,2027-01-02
30,1339,6,123.85,2026-05-26,2027-05-26
31,1218,1,165.47,2023-03-21,2024-03-20
32,2271,8,84.1,2023-08-26,2024-08-25
33,417,1,182.15,2023-03-02,2024-03-01
34,3172,7,79.62,2025-06-26,2026-06-26
35,675,12,147.83,2023-01-16,2024-01-16
36,1789,7,104.38,2025-01-06,2026-01-06
37,2280,3,348.66,2025-12-09,2026-12-09
38,523,12,120.54,2023-02-18,2024-02-18
39,420,13,134.15,2024-11-05,2025-11-05
40,317,13,164.94,2023-09-16,2024-09-15
41,2092,3,219.0,2025-08-19,2026-08-19
42,1861,7,65.69,2023-12-25,2024-12-24
43,2089,12,144.13,2024-03-30,2025-03-30
44,2039,12,106.41,2024-04-10,2025-04-10
45,2397,3,229.77,2024-03-30,2025-03-30
46,2542,10,524.15,2024-05-05,2025-05-05
47,1649,12,121.17,2024-11-10,2025-11-10
48,1411,10,392.74,2024-09-18,2025-09-18
49,86,13,89.7,2023-01-02,2024-01-02
50,2469,11,492.42,2024-09-02,2025-09-02
51,628,13,129.3,2023-05-17,2024-05-16
52,1592,8,72.78,2024-04-23,2025-04-23
53,1120,8,99.42,2023-06-19,2024-06-18
54,590,10,289.28,2024-04-01,2025-04-01
55,2295,2,224.34,2026-02-04,2027-02-04
56,1466,6,143.49,2024-07-28,2025-07-28
57,2961,11,442.06,2026-08-04,2027-08-04
58,1630,8,73.09,2025-10-18,2026-10-18
59,739,7,85.78,2024-01-13,2025-01-12
60,577,7,62.4,2026-11-15,2025-11-15
61,131,7,84.46,2023-09-16,2024-09-15
62,2950,8,84.27,2025-03-26,2026-03-26
63,1342,13,137.14,2024-07-31,2025-07-31
64,2396,2,216.35,2025-10-18,2026-10-18
65,1552,1,319.66,2025-01-25,2026-01-25
66,980,4,178.85,2026-06-24,2027-06-24
67,2768,13,112.0,2024-03-31,2025-03-31
68,1320,12,140.4,2024-04-08,2025-04-08
69,83,6,194.84,2024-01-12,2025-01-11
70,2827,12,98.48,2023-07-23,2024-07-22
71,643,12,111.74,2023-02-24,2024-02-24
72,1669,11,436.33,2023-12-29,2024-12-28
73,1472,6,134.56,2025-04-11,2026-04-11
74,860,9,367.24,2023-09-16,2024-09-15
75,3079,1,223.1,2024-04-17,2025-04-17
76,2049,2,227.94,2026-01-03,2025-01-03
77,620,2,265.0,2026-04-13,2027-04-13
78,2362,6,159.92,2025-02-04,2026-02-04
79,2005,13,125.62,2024-05-06,2023-05-07
80,2647,1,225.1,2026-08-20,2027-08-20
81,408,9,339.68,2024-11-28,2025-11-28
82,2941,8,54.96,2025-01-24,2026-01-24
83,2457,7,84.49,2026-04-01,2027-04-01
84,585,4,162.45,2024-12-05,2025-12-05
85,890,6,167.76,2025-02-27,2026-02-27
86,1920,11,454.75,2024-08-06,2025-08-06
87,1187,11,644.01,2024-05-16,2025-05-16
88,3032,3,166.86,2024-12-23,2025-12-23
89,2517,1,238.6,2025-10-18,2026-10-18
90,1724,10,342.35,2023-12-29,2024-12-28
91,2655,9,371.04,2026-03-24,2027-03-24
92,355,8,86.24,2025-04-13,2026-04-13
93,2955,12,120.31,2024-05-18,2025-05-18
94,467,10,420.49,2025-06-23,2026-06-23
95,2578,11,445.59,2024-11-17,2025-11-17
96,620,6,220.36,2026-01-09,2027-01-09
97,637,1,221.06,2026-07-26,2027-07-26
98,1166,13,150.43,2025-10-16,2026-10-16
99,1172,6,129.47,2023-02-14,2024-02-14
100,3058,5,184.77,2024-05-18,2025-05-18
101,2204,12,194.17,2023-05-30,2024-05-29
102,1064,10,439.98,2026-07-06,2027-07-06
103,1557,11,342.86,2025-09-07,2026-09-07
104,2193,7,73.57,2026-02-08,2027-02-08
105,2798,10,372.97,2023-05-27,2024-05-26
106,1397,6,129.43,2023-07-13,2024-07-12
107,1126,2,263.04,2023-12-02,2024-12-01
108,1610,7,72.06,2024-03-27,2025-03-27
109,1511,1,209.25,2024-07-26,2025-07-26
110,1415,4,147.05,2025-01-18,2026-01-18
111,1287,11,412.2,2025-04-21,2026-04-21
112,1808,13,143.41,2023-11-24,2024-11-23
113,2367,8,110.87,2023-02-14,2024-02-14
114,2562,5,115.02,2025-04-26,2026-04-26
115,2325,10,387.04,2024-11-14,2025-11-14
116,586,2,265.54,2025-07-05,2026-07-05
117,2913,9,439.66,2024-04-18,2025-04-18
118,2877,3,263.63,2024-03-17,2025-03-17
119,1104,4,193.5,2023-08-14,2024-08-13
120,2691,7,127.66,2024-02-06,2025-02-05
121,2022,11,469.75,2023-01-13,2024-01-13
122,1413,11,435.3,2023-10-08,2024-10-07
123,2129,7,68.22,2024-02-21,2025-02-20
124,2503,12,105.05,2025-07-16,2026-07-16
125,590,4,135.76,2023-11-16,2024-11-15
126,2325,8,70.67,2025-03-19,2026-03-19
127,3138,9,410.33,2025-04-13,2026-04-13
128,2749,6,170.87,2023-01-09,2024-01-09
129,567,4,163.81,2023-04-11,2024-04-10
130,2950,13,143.67,2024-07-03,2025-07-03
131,1037,12,131.61,2024-03-11,2025-03-11
132,1849,13,102.11,2025-11-09,2026-11-09
133,2832,13,107.58,2026-07-30,2027-07-30
134,848,9,501.74,2026-08-03,2027-08-03
135,2485,8,106.2,2026-05-12,2027-05-12
136,2304,8,89.58,2023-04-17,2024-04-16
137,770,5,186.4,2023-07-11,2024-07-10
138,882,7,122.98,2023-01-02,2024-01-02
139,1360,8,77.56,2024-12-07,2025-12-07
140,2174,3,269.05,2024-03-19,2025-03-19
141,3006,12,113.06,2026-07-30,2027-07-30
142,1155,2,217.32,2024-12-14,2025-12-14
143,2085,7,80.48,2024-11-07,2025-11-07
144,2599,2,211.2,2024-03-20,2025-03-20
145,1877,8,64.7,2024-02-08,2025-02-07
146,2619,1,249.21,2025-11-23,2026-11-23
147,1563,8,70.37,2025-07-12,2026-07-12
148,148,3,172.6,2025-08-05,2026-08-05
149,2692,2,238.64,2025-12-15,2026-12-15
150,2646,5,191.29,2025-06-11,2026-06-11
151,1499,13,132.8,2025-11-25,2026-11-25
152,463,3,183.74,2025-02-28,2026-02-28
153,2373,12,143.96,2023-11-24,2024-11-23
154,1952,3,228.55,2023-02-27,2024-02-27
155,2197,5,140.2,2024-12-31,2025-12-31
156,275,13,142.47,2025-06-19,2026-06-19
157,2235,7,118.79,2024-05-05,2025-05-05
158,2370,12,139.47,2025-03-05,2026-03-05
159,582,2,277.14,2025-09-14,2026-09-14
160,178,3,181.05,2024-07-02,2025-07-02
161,1753,13,104.04,2025-03-02,2024-03-02
162,3181,4,151.17,2025-11-21,2026-11-21
163,646,9,413.58,2025-02-25,2026-02-25
164,2295,5,147.01,2026-07-30,2027-07-30
165,3026,1,221.25,2025-11-26,2026-11-26
166,1229,9,467.59,2023-01-10,2024-01-10
167,1914,4,168.04,2026-03-01,2027-03-01
168,513,3,272.66,2024-04-03,2025-04-03
169,2929,5,192.83,2025-08-18,2026-08-18
170,3060,1,217.05,2025-10-23,2026-10-23
171,1307,6,183.21,2025-10-29,2026-10-29
172,813,3,191.73,2025-06-25,2026-06-25
173,600,1,256.4,2024-07-24,2025-07-24
174,1210,8,68.32,2023-04-17,2024-04-16
175,2698,11,732.74,2025-08-19,2026-08-19
176,2536,9,513.14,2026-04-08,2027-04-08
177,444,10,744.02,2025-06-08,2026-06-08
178,1634,10,411.97,2023-03-25,2024-03-24
179,2964,11,477.07,2024-02-03,2025-02-02
180,1090,1,213.05,2025-01-20,2026-01-20
181,1154,6,185.78,2025-01-16,2026-01-16
182,1880,12,207.38,2024-01-09,2025-01-08
183,362,12,151.56,2024-05-14,2025-05-14
184,2882,2,197.21,2024-08-05,2025-08-05
185,997,9,585.65,2024-11-16,2025-11-16
186,2624,12,190.72,2024-11-04,2025-11-04
187,2876,1,207.63,2023-11-07,2024-11-06
188,126,12,121.83,2024-12-15,2025-12-15
189,2940,6,183.04,2025-08-17,2026-08-17
190,2449,11,383.95,2024-02-21,2025-02-20
191,1184,12,111.97,2023-07-02,2024-07-01
192,442,8,73.09,2023-07-06,2024-07-05
193,1575,6,194.08,2025-04-26,2026-04-26
194,1587,7,76.57,2023-02-16,2024-02-16
195,376,11,333.77,2025-04-14,2026-04-14
196,600,12,120.79,2026-01-08,2027-01-08
197,2426,6,129.06,2023-09-21,2024-09-20
198,162,3,304.03,2023-10-17,2024-10-16
199,1603,1,219.99,2025-02-11,2026-02-11
200,1310,3,218.9,2024-11-23,2025-11-23
201,587,9,540.91,2024-02-20,2025-02-19
202,2642,4,129.88,2025-05-11,2026-05-11
203,890,11,480.47,2024-02-16,2025-02-15
204,367,1,220.57,2026-04-21,2027-04-21
205,2438,12,100.23,2025-06-27,2026-06-27
206,2979,2,267.09,2025-12-24,2026-12-24
207,711,12,125.98,2024-07-24,2025-07-24
208,2228,12,161.59,2023-04-14,2024-04-13
209,943,2,224.93,2026-07-21,2027-07-21
210,1740,1,293.9,2025-03-17,2026-03-17
211,2633,3,287.16,2023-06-18,2024-06-17
212,562,11,389.3,2026-03-17,2027-03-17
213,1880,8,128.97,2024-12-12,2025-12-12
214,903,1,176.86,2024-12-15,2025-12-15
215,869,4,217.67,2025-06-05,2026-06-05
216,831,13,156.78,2024-08-17,2025-08-17
217,388,12,108.92,2023-10-14,2024-10-13
218,2484,5,233.19,2024-12-30,2025-12-30
219,3103,2,226.86,2025-05-24,2026-05-24
220,403,13,145.31,2023-09-14,2024-09-13
221,2223,5,179.68,2025-06-04,2026-06-04
222,2724,7,80.85,2025-03-23,2026-03-23
223,2621,5,253.48,2023-12-19,2024-12-18
224,754,10,416.08,2025-11-20,2026-11-20
225,2109,3,246.31,2024-02-03,2025-02-02
226,1627,2,463.58,2024-10-27,2025-10-27
227,2255,12,219.68,2026-04-04,2027-04-04
228,1303,12,113.08,2024-11-30,2025-11-30
229,1968,9,350.24,2026-05-20,2027-05-20
230,1558,7,76.91,2024-01-20,2025-01-19
231,1513,12,208.53,2023-05-29,2024-05-28
232,1192,2,177.66,2025-03-04,2026-03-04
233,2259,12,149.95,2023-10-12,2024-10-11
234,1444,10,434.75,2025-12-30,2026-12-30
235,329,2,263.66,2023-03-22,2024-03-21
236,2669,7,61.31,2026-05-20,2027-05-20
237,1105,12,144.62,2025-07-04,2026-07-04
238,2013,8,96.99,2026-07-06,2027-07-06
239,69,6,148.82,2023-09-10,2024-09-09
240,615,7,84.79,2025-11-04,2026-11-04
241,2563,2,217.66,2026-03-16,2027-03-16
242,95,11,446.33,2024-12-06,2025-12-06
243,743,4,144.63,2025-04-15,2026-04-15
244,488,12,126.81,2024-03-26,2023-03-27
245,2042,4,265.31,2024-06-19,2025-06-19
246,1577,9,337.14,2026-03-21,2027-03-21
247,980,11,431.1,2023-02-20,2024-02-20
248,1338,11,385.52,2026-08-07,2027-08-07
249,1250,11,648.05,2025-01-22,2026-01-22
250,2779,10,341.15,2025-02-18,2026-02-18
251,2020,5,197.57,2024-06-02,2025-06-02
252,897,8,69.53,2024-07-28,2025-07-28
253,1758,13,184.06,2025-11-18,2026-11-18
254,3062,7,89.12,2026-02-24,2027-02-24
255,937,8,98.27,2025-05-02,2026-05-02
256,885,10,598.05,2025-11-26,2026-11-26
257,632,3,269.32,2025-08-26,2026-08-26
258,1930,3,262.21,2024-08-18,2025-08-18
259,3167,11,320.06,2026-08-21,2027-08-21
260,999,11,405.5,2026-01-01,2027-01-01
261,98,8,106.78,2025-01-09,2026-01-09
262,131,12,134.91,2025-04-01,2026-04-01
263,3002,1,257.62,2024-07-28,2025-07-28
264,3106,12,142.39,2025-08-15,2026-08-15
265,3025,9,675.84,2026-04-23,2027-04-23
266,2601,7,78.23,2023-02-28,2024-02-28
267,565,8,81.56,2023-03-20,2024-03-19
268,2823,2,239.47,2023-02-17,2024-02-17
269,2304,2,242.39,2024-04-09,2025-04-09
270,571,11,370.76,2024-04-21,2025-04-21
271,3075,11,678.72,2024-11-08,2025-11-08
272,2956,1,224.95,2024-12-23,2025-12-23
273,1126,5,163.26,2025-08-01,2026-08-01
274,611,13,128.15,2025-02-17,2026-02-17
275,2736,7,80.6,2025-12-08,2026-12-08
276,916,12,131.53,2024-12-17,2025-12-17
277,1402,2,214.23,2025-06-02,2026-06-02
278,2473,3,360.86,2023-07-12,2024-07-11
279,2727,8,107.74,2024-10-02,2025-10-02
280,901,11,383.75,2025-05-05,2026-05-05
281,764,12,114.28,2024-02-14,2025-02-13
282,1025,9,429.72,2023-10-15,2024-10-14
283,2736,8,72.4,2025-05-16,2026-05-16
284,3124,5,138.75,2023-07-27,2024-07-26
285,1738,3,235.03,2023-08-31,2024-08-30
286,2683,10,427.56,2026-04-21,2027-04-21
287,243,11,427.61,2026-05-20,2027-05-20
288,986,1,366.57,2026-05-09,2027-05-09
289,303,11,469.37,2023-05-02,2024-05-01
290,134,7,105.41,2023-09-14,2024-09-13
291,2884,10,365.63,2023-07-24,2024-07-23
292,3116,5,273.03,2025-12-23,2026-12-23
293,2174,2,238.48,2023-07-05,2024-07-04
294,2664,4,165.39,2026-05-29,2027-05-29
295,1642,8,74.06,2023-10-24,2024-10-23
296,2959,4,134.81,2023-09-29,2024-09-28
297,3143,8,70.74,2024-01-14,2025-01-13
298,262,3,374.3,2026-04-24,2027-04-24
299,1169,7,104.7,2025-12-03,2026-12-03
300,832,7,81.21,2026-06-13,2027-06-13
301,347,3,256.17,2023-11-18,2024-11-17
302,2398,10,370.13,2026-08-08,2027-08-08
303,65,9,404.57,2023-08-23,2024-08-22
304,1916,12,186.44,2024-11-26,2025-11-26
305,1852,4,231.35,2025-05-25,2026-05-25
306,2517,3,191.13,2025-10-28,2026-10-28
307,2534,4,159.17,2026-01-31,2027-01-31
308,2324,2,175.86,2025-08-01,2026-08-01
309,1983,1,256.11,2026-03-02,2027-03-02
310,1849,9,373.21,2024-08-21,2025-08-21
311,2437,12,112.57,2024-02-07,2025-02-06
312,1123,7,92.19,2024-12-29,2023-12-30
313,3179,11,480.02,2024-05-14,2025-05-14
314,2274,12,133.22,2024-09-26,2025-09-26
315,227,6,176.38,2025-03-29,2026-03-29
316,1625,1,261.17,2023-04-08,2024-04-07
317,2477,5,182.28,2025-07-29,2026-07-29
318,1219,3,274.71,2023-10-27,2024-10-26
319,1737,12,115.13,2024-05-13,2025-05-13
320,2724,5,167.15,2023-04-10,2024-04-09
321,1285,1,280.68,2025-02-07,2026-02-07
322,2235,7,109.61,2023-07-21,2024-07-20
323,2694,12,143.56,2024-04-28,2025-04-28
324,3158,12,160.2,2023-06-07,2024-06-06
325,2753,11,292.53,2026-07-28,2027-07-28
326,1702,1,233.58,2023-06-26,2024-06-25
327,2873,9,750.77,2027-05-14,2026-05-14
328,3069,13,150.75,2025-05-27,2026-05-27
