id_sinistro,id_polizza,data_denuncia,tipo_danno,tipo_modulo_cai,regione_sinistro,importo_stimato_perito,importo_indennizzo_liquidato,esito_sinistro,data_offerta,data_accettazione_danneggiato,data_liquidazione
1,1389,2024-02-26,Corpi di veicoli terrestri,,Sardegna,2559.93,2472.26,liquidato,2024-03-15,2024-03-22,2024-04-02
2,4140,2026-08-10,Corpi di veicoli terrestri,,Sardegna,3484.41,3390.63,liquidato,2026-08-20,2026-09-01,2026-09-13
3,2442,2024-03-03,Incendio ed elementi naturali,,Molise,2657.02,,respinto,,,
4,4202,2025-03-17,Incendio ed elementi naturali,,Piemonte,8381.35,,aperto,,,
5,2213,2023-03-07,Incendio ed elementi naturali,,Lazio,,14158.98,liquidato,2023-04-03,2023-04-11,2023-04-20
6,2931,2025-08-24,Altri danni ai beni,,Lombardia,347.09,,respinto,,,
7,2819,2026-05-28,Incendio ed elementi naturali,,Calabria,11410.03,11333.17,liquidato,2026-06-12,2026-06-28,2026-07-10
8,883,2024-02-20,Corpi di veicoli terrestri,,Liguria,981.71,,aperto,,,
9,545,2024-05-10,RC autoveicoli terrestri,congiunto,Marche,4441.09,4568.53,liquidato,2024-05-31,2024-06-10,2024-06-21
10,3260,2023-07-15,RC generale,,Abruzzo,15367.69,14773.57,liquidato,2023-08-27,2023-08-30,2023-09-07
11,1776,2024-12-07,RC generale,,Veneto,6680.98,6563.96,liquidato,2025-01-26,2025-02-02,2025-02-15
12,4038,2026-08-18,Incendio ed elementi naturali,,Sicilia,14725.94,14116.36,liquidato,2026-09-04,2026-09-15,2026-09-21
13,238,2026-08-24,Altri danni ai beni,,Piemonte,1267.45,1179.86,liquidato,2026-09-22,2026-10-10,2026-10-21
14,143,2025-09-08,Altri danni ai beni,,Veneto,2595.52,2382.84,liquidato,2025-10-04,2025-10-22,2025-11-05
15,2919,2026-03-18,Corpi di veicoli terrestri,,Abruzzo,3383.62,3309.73,liquidato,2026-04-18,2026-05-03,2026-05-18
16,2370,2025-06-24,Altri danni ai beni,,Lazio,1266.49,1070.76,liquidato,2025-07-16,2025-07-17,2025-07-23
17,603,2026-04-27,Incendio ed elementi naturali,,Valle d'Aosta,2853.2,2421.53,liquidato,2026-06-19,2026-06-24,2026-06-28
18,2722,2023-09-22,RC generale,,Sardegna,9102.86,8610.03,liquidato,2023-11-16,2023-11-23,2023-12-05
19,115,2025-08-12,RC generale,,Piemonte,6864.67,,respinto,,,
20,2658,2024-03-15,Incendio ed elementi naturali,,Marche,10268.29,,respinto,,,
21,370,2026-06-22,RC generale,,Campania,9508.17,9164.97,liquidato,2026-08-06,2026-08-20,2026-09-01
22,2506,2023-03-23,Incendio ed elementi naturali,,Veneto,14396.68,13363.53,liquidato,2023-05-05,2023-05-23,2023-05-27
23,2100,2023-11-14,RC generale,,Umbria,8189.32,7728.43,liquidato,2023-12-14,2023-12-17,2023-12-28
24,3165,2025-06-05,RC generale,,Puglia,6900.15,6656.02,liquidato,2025-07-02,2025-07-14,2025-07-21
25,895,2026-07-06,Corpi di veicoli terrestri,,Marche,4255.47,3644.7,liquidato,2026-07-22,2026-08-10,2026-08-17
26,1356,2026-08-20,Incendio ed elementi naturali,,Emilia-Romagna,14944.12,14538.24,liquidato,2026-09-08,2026-09-20,2026-09-29
27,2204,2024-07-23,Corpi di veicoli terrestri,,Sicilia,4390.68,3788.59,liquidato,2024-08-05,2024-08-07,2024-08-19
28,1059,2023-06-09,Corpi di veicoli terrestri,,Sardegna,200,48.83,liquidato,2023-07-16,2023-07-20,2023-07-27
29,1919,2025-08-05,RC autoveicoli terrestri,congiunto,Puglia,6474.56,6596.3,liquidato,2025-08-28,2025-09-02,2025-09-06
30,3383,2024-06-22,Incendio ed elementi naturali,,Liguria,200,0.0,liquidato,2024-08-15,2024-08-17,2024-08-20
31,1350,2025-12-18,Incendio ed elementi naturali,,Sardegna,18195.43,17027.53,liquidato,2026-01-21,2026-02-02,2026-02-15
32,3807,2026-07-14,Corpi di veicoli terrestri,,Toscana,3762.17,3378.96,liquidato,2026-08-12,2026-08-20,2026-08-27
33,1392,2024-01-04,Corpi di veicoli terrestri,,Basilicata,3293.49,2995.72,liquidato,2024-01-26,2024-02-14,2024-02-29
34,2808,2025-09-01,RC autoveicoli terrestri,unilaterale,Friuli-Venezia Giulia,10899.47,10471.29,liquidato,2025-10-22,2025-11-09,2025-11-15
35,2715,2026-08-24,RC autoveicoli terrestri,congiunto,Sardegna,2861.38,,in_contenzioso,2026-09-06,,
36,3054,2025-07-24,Incendio ed elementi naturali,,Veneto,12403.09,,respinto,,,
37,4170,2024-11-09,Corpi di veicoli terrestri,,Abruzzo,2393.13,2223.92,liquidato,2024-12-26,2025-01-07,2025-01-12
38,2098,2026-07-05,Altri danni ai beni,,Lazio,2382.81,2231.89,liquidato,2026-07-27,2026-08-06,2026-08-11
39,4297,2026-05-16,Corpi di veicoli terrestri,,Emilia-Romagna,2938.73,2657.29,liquidato,2026-06-04,2026-06-19,2026-06-24
40,872,2025-07-01,RC generale,,Sicilia,8358.96,7917.96,liquidato,2025-07-30,2025-08-15,2025-08-26
41,2001,2024-09-30,Incendio ed elementi naturali,,Piemonte,15773.03,15624.66,liquidato,2024-10-13,2024-10-22,2024-10-26
42,125,2024-04-08,Incendio ed elementi naturali,,Trentino-Alto Adige,16400.04,15108.9,liquidato,2024-05-07,2024-05-17,2024-05-23
43,3917,2025-05-23,RC generale,,Toscana,13228.25,12451.86,liquidato,2025-07-11,2025-07-16,2025-07-26
44,193,2025-05-23,Incendio ed elementi naturali,,Basilicata,10722.11,,respinto,,,
45,3273,2023-11-20,Incendio ed elementi naturali,,Sardegna,200,,in_contenzioso,2024-01-13,,
46,3301,2024-01-14,Corpi di veicoli terrestri,,Piemonte,1214.01,1054.28,liquidato,2024-02-06,2024-02-21,2024-03-06
47,2376,2023-09-22,RC generale,,Umbria,6846.94,6313.0,liquidato,2023-11-07,2023-11-08,2023-11-11
48,869,2026-04-09,RC generale,,Liguria,2290.39,1774.94,liquidato,2026-06-07,2026-06-13,2026-06-18
49,542,2026-07-23,Incendio ed elementi naturali,,Friuli-Venezia Giulia,1110.23,841.77,liquidato,2026-08-20,2026-09-01,2026-09-13
50,1929,2024-01-29,Corpi di veicoli terrestri,,Piemonte,3828.76,,respinto,,,
51,2495,2024-05-10,Incendio ed elementi naturali,,Toscana,6435.39,,aperto,,,
52,3864,2024-01-22,RC autoveicoli terrestri,unilaterale,Campania,7886.55,7557.59,liquidato,2024-03-03,2024-03-23,2024-04-03
53,2708,2026-08-11,Incendio ed elementi naturali,,Emilia-Romagna,6841.94,6373.48,liquidato,2026-09-05,2026-09-12,2026-09-22
54,3023,2024-10-29,Corpi di veicoli terrestri,,Veneto,5100.6,4694.09,liquidato,2024-11-27,2024-12-10,2024-12-15
55,2477,2024-01-22,RC generale,,Molise,7217.9,,aperto,,,
56,2304,2023-08-24,RC generale,,Molise,1823.63,,aperto,,,
57,189,2026-07-04,Incendio ed elementi naturali,,Lazio,23530.21,,aperto,,,
58,2115,2024-06-06,Incendio ed elementi naturali,,Molise,17030.73,16853.38,liquidato,2024-07-17,2024-08-03,2024-08-15
59,2263,2024-07-20,RC autoveicoli terrestri,unilaterale,Friuli-Venezia Giulia,3647.6,3355.38,liquidato,2024-08-18,2024-08-31,2024-09-15
60,3757,2025-10-15,RC generale,,Puglia,11647.44,10925.92,liquidato,2025-11-27,2025-12-13,2025-12-27
61,1805,2023-09-28,Altri danni ai beni,,Toscana,977.96,871.37,liquidato,2023-10-26,2023-10-31,2023-11-10
62,1986,2026-06-22,Altri danni ai beni,,Liguria,1291.83,1163.55,liquidato,2026-08-04,2026-08-18,2026-08-28
63,2334,2026-05-02,Incendio ed elementi naturali,,Molise,10251.58,9341.44,liquidato,2026-06-02,2026-06-22,2026-07-02
64,245,2024-07-20,Incendio ed elementi naturali,,Puglia,22098.28,21277.96,liquidato,2024-08-27,2024-09-06,2024-09-19
65,2764,2025-03-24,RC generale,,Piemonte,6901.81,,aperto,,,
66,3857,2026-06-08,RC autoveicoli terrestri,congiunto,Toscana,6643.88,6665.49,liquidato,2026-07-08,2026-07-21,2026-07-31
67,2117,2025-06-09,RC generale,,Valle d'Aosta,11308.26,,aperto,,,
68,3844,2025-02-27,RC autoveicoli terrestri,congiunto,Sardegna,5515.56,,aperto,,,
69,1276,2025-08-06,RC autoveicoli terrestri,congiunto,Basilicata,9532.63,,aperto,,,
70,1042,2025-02-21,Corpi di veicoli terrestri,,Molise,5885.18,,aperto,,,
71,3749,2024-09-28,Incendio ed elementi naturali,,Basilicata,22433.18,,respinto,,,
72,4207,2026-04-04,RC autoveicoli terrestri,congiunto,Molise,8807.68,8415.38,liquidato,2026-04-25,2026-05-14,2026-05-20
73,961,2024-07-10,RC autoveicoli terrestri,unilaterale,Toscana,7190.69,6858.64,liquidato,2024-07-20,2024-08-01,2024-08-04
74,3181,2025-08-17,Corpi di veicoli terrestri,,Puglia,4535.63,,aperto,,,
75,2233,2023-09-13,Incendio ed elementi naturali,,Molise,11996.3,11413.12,liquidato,2023-11-09,2023-11-11,2023-11-26
76,1398,2026-01-05,RC generale,,Basilicata,18807.13,,respinto,,,
77,3375,2025-07-20,Altri danni ai beni,,Puglia,2035.16,,in_contenzioso,2025-08-28,,
78,3083,2025-10-17,Incendio ed elementi naturali,,Toscana,9405.5,8917.8,liquidato,2025-11-17,2025-11-29,2025-12-05
79,2217,2024-03-06,RC generale,,Marche,11255.62,10818.74,liquidato,2024-04-03,2024-04-05,2024-04-15
80,1360,2026-03-24,Altri danni ai beni,,Piemonte,2750.85,,in_contenzioso,2026-05-11,,
81,4151,2025-09-03,Incendio ed elementi naturali,,Friuli-Venezia Giulia,15276.44,,respinto,,,
